FILM,YEAR,MONTH,GENREA,GENREB,ANIMATED_BIN,DUMPMONTH_BIN,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,RT_norm,RT_user_norm,Metacritic_norm,Metacritic_user_nom,IMDB_norm,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,Fandango_Difference
Avengers: Age of Ultron ,2015,May,Action,Adventure,0,0,74,86,66,7.1,7.8,5,4.5,3.7,4.3,3.3,3.55,3.9,3.5,4.5,3.5,3.5,4,1330,271107,14846,0.5
Cinderella ,2015,March,Drama,Fantasy,0,0,85,80,67,7.5,7.1,5,4.5,4.25,4,3.35,3.75,3.55,4.5,4,3.5,4,3.5,249,65709,12640,0.5
Ant-Man ,2015,July,Action,Adventure,0,0,80,90,64,8.1,7.8,5,4.5,4,4.5,3.2,4.05,3.9,4,4.5,3,4,4,627,103660,12055,0.5
Do You Believe? ,2015,March,Drama,,0,0,18,84,22,4.7,5.4,5,4.5,0.9,4.2,1.1,2.35,2.7,1,4,1,2.5,2.5,31,3136,1793,0.5
Hot Tub Time Machine 2 ,2015,February,Comedy,Mystery,0,1,14,28,29,3.4,5.1,3.5,3,0.7,1.4,1.45,1.7,2.55,0.5,1.5,1.5,1.5,2.5,88,19560,1021,0.5
The Water Diviner ,2015,December,Drama,History,0,0,63,62,50,6.8,7.2,4.5,4,3.15,3.1,2.5,3.4,3.6,3,3,2.5,3.5,3.5,34,39373,397,0.5
Irrational Man ,2015,August,Comedy,Drama,0,1,42,53,53,7.6,6.9,4,3.5,2.1,2.65,2.65,3.8,3.45,2,2.5,2.5,4,3.5,17,2680,252,0.5
Top Five ,2014,December,Comedy,Romance,0,0,86,64,81,6.8,6.5,4,3.5,4.3,3.2,4.05,3.4,3.25,4.5,3,4,3.5,3.5,124,16876,3223,0.5
Shaun the Sheep Movie ,2015,August,Adventure,Comedy,1,1,99,82,81,8.8,7.4,4.5,4,4.95,4.1,4.05,4.4,3.7,5,4,4,4.5,3.5,62,12227,896,0.5
Love & Mercy ,2015,June,Biography,Drama,0,0,89,87,80,8.5,7.8,4.5,4,4.45,4.35,4,4.25,3.9,4.5,4.5,4,4.5,4,54,5367,864,0.5
Far From The Madding Crowd ,2015,May,Drama,Romance,0,0,84,77,71,7.5,7.2,4.5,4,4.2,3.85,3.55,3.75,3.6,4,4,3.5,4,3.5,35,12129,804,0.5
Black Sea ,2015,January,Adventure,Drama,0,1,82,60,62,6.6,6.4,4,3.5,4.1,3,3.1,3.3,3.2,4,3,3,3.5,3,37,16547,218,0.5
Leviathan ,2014,February,Crime,Drama,0,1,99,79,92,7.2,7.7,4,3.5,4.95,3.95,4.6,3.6,3.85,5,4,4.5,3.5,4,145,22521,64,0.5
Unbroken ,2014,December,Biography,Drama,0,0,51,70,59,6.5,7.2,4.5,4.1,2.55,3.5,2.95,3.25,3.6,2.5,3.5,3,3.5,3.5,218,77518,9443,0.4
The Imitation Game ,2014,December,Biography,Drama,0,0,90,92,73,8.2,8.1,5,4.6,4.5,4.6,3.65,4.1,4.05,4.5,4.5,3.5,4,4,566,334164,8055,0.4
Taken 3 ,2015,January,Action,Thriller,0,1,9,46,26,4.6,6.1,4.5,4.1,0.45,2.3,1.3,2.3,3.05,0.5,2.5,1.5,2.5,3,240,104235,6757,0.4
